Continent,Country,Election type,Year,Voter Turnout,Total vote,Registration,VAP Turnout,Voting age population,Population,Invalid votes,Compulsory voting
Africa,Senegal,Presidential,2019,0.6627,4428680,6683043,0.5487,8071074,15377009,0.0096,No
Africa,Senegal,Presidential,2012,0.5712,2915893,5105033,0.4483,6504093,12969606,0.0048,No
Africa,Senegal,Presidential,2007,0.7062,3472712,4917157,0.5511,6301663,12521851,0.014,No
Africa,Senegal,Presidential,2000,0.6075,1667775,2745239,0.3674,4539960,9574276,0.006,No
Europe,Serbia,Parliamentary,2022,0.5853,3805956,6502307,0.6607,5759554,6941358,0.0296,No
Europe,Serbia,Parliamentary,2020,0.4893,3221908,6584376,0.556,5794643,7012165,0.0367,No
Europe,Serbia,Parliamentary,2016,0.5607,3778923,6739441,0.6431,5875839,7143921,0.0286,No
Europe,Serbia,Parliamentary,2014,0.5309,3592375,6766575,0.6349,5658441,7209764,0,No
Europe,Serbia,Parliamentary,2012,0.5777,3911136,6770013,0.6755,5790302,7276604,0,No
Europe,Serbia,Parliamentary,2008,0.6135,4141176,6749688,0.7017,5901990,7334935,0.022,No
Europe,Serbia,Parliamentary,2007,0.6057,4029286,6652105,0.6819,5908864,7381579,0.016,No
Europe,Serbia,Presidential,2022,0.584,3797612,6502307,0.6594,5759554,6941358,0.0237,No
Europe,Serbia,Presidential,2017,0.5436,3655365,6724949,0.6245,5852924,7111024,0.0165,No
Europe,Serbia,Presidential,2012,0.4626,3132679,6771479,0.541,5790302,7276604,0.0315,No
Europe,Serbia,Presidential,2008,0.6812,4580428,6723762,0.7761,5901990,7334935,0.0172,No
Europe,Serbia,Presidential,2004,0.4869,3180682,6532263,0,0,0,0.0132,N/A
Africa,Seychelles,Parliamentary,2020,0.884,65978,74634,0.8878,74315,95981,0.027,No
Africa,Seychelles,Parliamentary,2016,0.875,62939,71932,0.8891,70792,93186,0.0246,No
Africa,Seychelles,Parliamentary,2011,0.7425,51592,69480,0.8065,63974,89188,0.3187,No
Africa,Seychelles,Parliamentary,2007,0.859,55827,64993,0.9349,59713,86000,0.025,No
Africa,Seychelles,Parliamentary,2002,0.8452,52699,62350,0.9812,53710,80098,0.018,No
Africa,Seychelles,Presidential,2020,0.8845,66017,74634,0.8883,74315,95981,0.019,No
Africa,Seychelles,Presidential,2015,0.9006,63893,70943,0.914,69904,92430,0.0166,No
Africa,Seychelles,Presidential,2011,0.8526,59242,69480,0.926,63974,89188,0.0272,No
Africa,Seychelles,Presidential,2006,0.8869,56787,64026,0.9708,58497,81541,0.013,No
Africa,Seychelles,Presidential,2001,0.9325,51145,54847,0.9785,52267,80522,0.018,No
Africa,Sierra Leone,Parliamentary,2018,0.842,2676549,3178663,0.815,3284182,6312212,0.0742,No
Africa,Sierra Leone,Parliamentary,2012,0.7928,2141482,2701299,0.7684,2786886,5485998,0,No
Africa,Sierra Leone,Parliamentary,2007,0.758,1984106,2617554,0.7206,2753360,5420000,0.073,No
Africa,Sierra Leone,Parliamentary,2002,0.8326,1950492,2342547,0.7727,2524320,5426618,0,No
Africa,Sierra Leone,Presidential,2018,0.842,2676549,3178663,0.815,3284182,6312212,0.0521,No
Africa,Sierra Leone,Presidential,2012,0.9105,2459524,2701299,0.8825,2786886,5485998,0.047,No
Africa,Sierra Leone,Presidential,2007,0.6861,1783851,2600000,0.6479,2753360,5420000,0.073,No
